followup,neighbours,treatmentseeking,rfmda,imptreat,betared
0,0,1,0,0,0
0.1,0,1,0,0,0
0.2,0,1,0,0,0
0.3,0,1,0,0,0
0.4,0,1,0,0,0
0.5,0,1,0,0,0
0.6,0,1,0,0,0
0.7,0,1,0,0,0
0.8,0,1,0,0,0
0.9,0,1,0,0,0
1,0,1,0,0,0
0.35,0,1,0,0,0
0.35,10,1,0,0,0
0.35,20,1,0,0,0
0.35,30,1,0,0,0
0.35,40,1,0,0,0
0.35,50,1,0,0,0
0.35,60,1,0,0,0
0.35,70,1,0,0,0
0.35,80,1,0,0,0
0.35,90,1,0,0,0
0.35,100,1,0,0,0
0.35,0,1,0,0,0
0.35,0,1.2,0,0,0
0.35,0,1.4,0,0,0
0.35,0,1.6,0,0,0
0.35,0,1.8,0,0,0
0.35,0,2,0,0,0
0.35,0,2.2,0,0,0
0.35,0,2.4,0,0,0
0.35,0,2.6,0,0,0
0.35,0,2.8,0,0,0
0.35,0,3,0,0,0
0.35,0,1,0,0,0
0.35,0,1,0.1,0,0
0.35,0,1,0.2,0,0
0.35,0,1,0.3,0,0
0.35,0,1,0.4,0,0
0.35,0,1,0.5,0,0
0.35,0,1,0.6,0,0
0.35,0,1,0.7,0,0
0.35,0,1,0.8,0,0
0.35,0,1,0.9,0,0
0.35,0,1,1,0,0
0.35,0,1,0,0,0
0.35,0,1,0,0.1,0
0.35,0,1,0,0.2,0
0.35,0,1,0,0.3,0
0.35,0,1,0,0.4,0
0.35,0,1,0,0.5,0
0.35,0,1,0,0.6,0
0.35,0,1,0,0.7,0
0.35,0,1,0,0.8,0
0.35,0,1,0,0.9,0
0.35,0,1,0,1,0
0.35,0,1,0,0,0
0.35,0,1,0,0,0.1
0.35,0,1,0,0,0.2
0.35,0,1,0,0,0.3
0.35,0,1,0,0,0.4
0.35,0,1,0,0,0.5
0.35,0,1,0,0,0.6
0.35,0,1,0,0,0.7
0.35,0,1,0,0,0.8
0.35,0,1,0,0,0.9
0.35,0,1,0,0,1
